Date,Open,High,Low,Close,Adj Close,Volume
1989-10-03,4.078125,4.078125,3.984375,3.984375,1.770717,349600
1989-10-04,4.015625,4.234375,4.015625,4.187500,1.860989,460000
1989-10-05,4.171875,4.250000,4.171875,4.234375,1.881821,524800
1989-10-06,4.234375,4.234375,4.218750,4.218750,1.874877,65600
1989-10-09,4.203125,4.234375,4.187500,4.203125,1.867932,539200
1989-10-10,4.203125,4.218750,4.187500,4.218750,1.874877,127200
1989-10-11,4.203125,4.218750,4.203125,4.218750,1.874877,184800
1989-10-12,4.203125,4.203125,4.140625,4.171875,1.854044,341600
1989-10-13,4.156250,4.156250,3.953125,3.984375,1.770717,295200
1989-10-16,3.687500,3.781250,3.687500,3.750000,1.666556,572800
1989-10-17,3.750000,3.765625,3.687500,3.687500,1.638781,113600
1989-10-18,3.718750,3.718750,3.687500,3.687500,1.638781,361600
1989-10-19,3.671875,3.812500,3.671875,3.812500,1.694333,277600
1989-10-20,3.875000,3.921875,3.843750,3.921875,1.742941,187200
1989-10-23,3.921875,3.921875,3.875000,3.875000,1.722109,40800
1989-10-24,3.843750,3.843750,3.781250,3.781250,1.680445,64800
1989-10-25,3.750000,3.796875,3.750000,3.750000,1.666556,547200
1989-10-26,3.750000,3.812500,3.734375,3.734375,1.659613,128000
1989-10-27,3.734375,3.734375,3.718750,3.718750,1.652669,354400
1989-10-30,3.687500,3.718750,3.687500,3.687500,1.638781,271200
1989-10-31,3.687500,3.703125,3.687500,3.687500,1.638781,197600
1989-11-01,3.687500,3.687500,3.625000,3.640625,1.617950,183200
1989-11-02,3.640625,3.640625,3.500000,3.546875,1.576284,1091200
1989-11-03,3.546875,3.593750,3.531250,3.593750,1.597118,111200
1989-11-06,3.578125,3.578125,3.515625,3.515625,1.562397,93600
1989-11-07,3.531250,3.562500,3.515625,3.562500,1.583229,440000
1989-11-08,3.578125,3.609375,3.562500,3.609375,1.604061,151200
1989-11-09,3.593750,3.625000,3.593750,3.625000,1.611005,115200
1989-11-10,3.656250,3.656250,3.640625,3.640625,1.617950,48800
1989-11-13,3.625000,3.687500,3.625000,3.656250,1.624893,96800
1989-11-14,3.656250,3.703125,3.656250,3.671875,1.631837,290400
